"","short.id","IGSN","Location","Site","Position","id","year","month","top_depth_cm","bottom_depth_cm","ppm_C","eoc_dry_mass","c_per_g_soil","eoc_method","ppm_C_sd","eoc_dry_mass_sd","c_per_g_soil_sd"
"45","CA-046","IECZM003L","CA","MC","T","CA-MC-T",2021,10,105,110,11.6,4.11,0.056447689,"hot water",NA,NA,NA
"46","CA-047","IECZM003M","CA","MC","T","CA-MC-T",2021,10,110,120,7.73,4.18,0.036985646,"hot water",NA,NA,NA
"47","CA-048","IECZM003N","CA","MC","T","CA-MC-T",2021,10,120,127,12.12,3.96,0.061212121,"hot water",NA,NA,NA
"48","CA-049","IECZM002V","CA","MC","R","CA-MC-R",2021,10,0,6,35.35,3.74,0.189037433,"hot water",NA,NA,NA
"49","CA-050","IECZM002W","CA","MC","R","CA-MC-R",2021,10,6,10,27.74,4.4,0.126090909,"hot water",NA,NA,NA
"50","CA-051","IECZM002X","CA","MC","R","CA-MC-R",2021,10,10,20,28.03,4.44,0.126261261,"hot water",NA,NA,NA
"51","CA-052","IECZM002Y","CA","MC","R","CA-MC-R",2021,10,20,30,26.08,4.42,0.11800905,"hot water",NA,NA,NA
"52","CA-053","IECZM002Z","CA","MC","R","CA-MC-R",2021,10,30,40,15.34,4.42,0.069411765,"hot water",NA,NA,NA
"53","CA-054","IECZM0030","CA","MC","R","CA-MC-R",2021,10,40,50,17.72,4.51,0.078580931,"hot water",NA,NA,NA
"54","CA-055","IECZM0031","CA","MC","R","CA-MC-R",2021,10,50,60,14.27,4.46,0.063991031,"hot water",NA,NA,NA
"55","CA-056","IECZM0032","CA","MC","R","CA-MC-R",2021,10,60,70,17,4.59,0.074074074,"hot water",NA,NA,NA
"56","CA-057","IECZM0033","CA","MC","R","CA-MC-R",2021,10,70,80,16.71,4.61,0.072494577,"hot water",NA,NA,NA
"57","CA-058","IECZM0034","CA","MC","R","CA-MC-R",2021,10,80,85,12.9,4.52,0.057079646,"hot water",NA,NA,NA
"58","LUQ-001","IECZM0084","LUQ","IC","R","LUQ-IC-R",2022,1,160,165,2.05,4.29,0.00955711,"hot water",NA,NA,NA
"59","LUQ-002","IECZM008D","LUQ","IC","T","LUQ-IC-T",2022,1,40,50,9.01,3.47,0.051930836,"hot water",NA,NA,NA
"60","LUQ-003","IECZM007S","LUQ","IC","R","LUQ-IC-R",2022,1,70,75,26.47,3.65,0.145041096,"hot water",NA,NA,NA
"61","LUQ-004","IECZM008A","LUQ","IC","T","LUQ-IC-T",2022,1,10,20,20.955,3.23,0.129752322,"hot water",0.106066017177984,0,0.000656755121511824
"62","LUQ-006","IECZM005Q","LUQ","EV","M","LUQ-EV-M",2022,1,40,50,12.25,3.15,0.077777778,"hot water",NA,NA,NA
"63","LUQ-007","IECZM006F","LUQ","EV","R","LUQ-EV-R",2022,1,90,100,9.89,2.5,0.07912,"hot water",NA,NA,NA
