treatment,f,rep,p,t,veg_treat,aml_trt,sample_type,s,horizon,depth_upper,depth_lower,d,Soil Carbon,Hydrogen,Nitrogen,Bulk density,CN
C1OM0,1,1,9,1,No,1,soil,3,mineral,0,10,1,2.083,0.789,0.146,0.94,14.26712329
C1OM0,1,1,9,2,Yes,1,soil,2,mineral,10,20,2,2.527,1.057,0.154,0.85,16.40909091
C1OM0,1,1,9,2,Yes,1,soil,2,mineral,20,30,3,3.781,1.1,0.17,0.95,22.24117647
C1OM0,1,1,9,2,Yes,1,soil,3,mineral,10,20,2,1.784,0.945,0.105,1.06,16.99047619
C1OM1,1,1,8,1,No,1,soil,1,mineral,0,10,1,4.416,1.079,0.211,0.94,20.92890995
C1OM1,1,1,8,1,No,1,soil,1,mineral,10,20,2,5.37,1.181,0.258,0.95,20.81395349
C1OM1,1,1,8,1,No,1,soil,1,mineral,20,30,3,2.69,0.852,0.155,1.02,17.35483871
C1OM1,1,1,8,1,No,1,soil,2,mineral,0,10,1,1.724,0.928,0.123,1,14.01626016
C1OM1,1,1,8,1,No,1,soil,2,mineral,10,20,2,2.136,0.95,0.12,1.03,17.8
C1OM1,1,1,8,1,No,1,soil,2,mineral,20,30,3,1.646,0.761,0.096,1.17,17.14583333
C1OM1,1,1,8,1,No,1,soil,3,mineral,0,10,1,2.029,0.898,0.12,1.21,16.90833333
C1OM1,1,1,8,1,No,1,soil,3,mineral,10,20,2,1.283,0.651,0.062,1.38,20.69354839
C1OM1,1,1,8,1,No,1,soil,3,mineral,20,30,3,1.702,0.846,0.109,1.44,15.6146789
C1OM1,1,1,8,2,Yes,1,soil,1,mineral,0,10,1,3.624,0.82,0.149,1.09,24.32214765
C1OM1,1,1,8,2,Yes,1,soil,1,mineral,10,20,2,3.243,0.967,0.176,1.54,18.42613636
C1OM1,1,1,8,2,Yes,1,soil,1,mineral,20,30,3,2.504,0.755,0.143,1.18,17.51048951
C1OM1,1,1,8,2,Yes,1,soil,2,mineral,10,20,2,1.896,0.805,0.112,1.01,16.92857143
C1OM1,1,1,8,2,Yes,1,soil,2,mineral,20,30,3,1.849,0.716,0.104,1.19,17.77884615
C1OM1,1,1,8,2,Yes,1,soil,3,mineral,0,10,1,3.891,0.922,0.126,0.71,30.88095238
C1OM1,1,1,8,2,Yes,1,soil,3,mineral,10,20,2,1.305,0.587,0.058,1.37,22.5
C1OM1,1,1,8,2,Yes,1,soil,3,mineral,20,30,3,1.115,0.528,0.063,1.46,17.6984127
C1OM2,1,1,7,1,No,1,soil,1,mineral,0,10,1,3.687,0.933,0.163,0.87,22.6196319
C1OM2,1,1,7,1,No,1,soil,1,mineral,10,20,2,2.282,0.794,0.133,1.07,17.15789474
C1OM2,1,1,7,1,No,1,soil,1,mineral,20,30,3,2.527,0.915,0.124,1.09,20.37903226
C1OM2,1,1,7,1,No,1,soil,2,mineral,0,10,1,2.377,0.976,0.096,0.7,24.76041667
C1OM2,1,1,7,1,No,1,soil,2,mineral,10,20,2,1.295,0.621,0.052,0.93,24.90384615
C1OM2,1,1,7,1,No,1,soil,2,mineral,20,30,3,1.433,0.774,0.09,0.74,15.92222222
C1OM2,1,1,7,1,No,1,soil,3,mineral,0,10,1,1.663,0.952,0.117,0.71,14.21367521
C1OM2,1,1,7,1,No,1,soil,3,mineral,10,20,2,1.18,0.755,0.077,0.86,15.32467532
C1OM2,1,1,7,1,No,1,soil,3,mineral,20,30,3,3.397,1.031,0.099,1.33,34.31313131
C1OM2,1,1,7,2,Yes,1,soil,1,mineral,0,10,1,2.248,0.975,0.122,0.85,18.42622951
C1OM2,1,1,7,2,Yes,1,soil,1,mineral,10,20,2,2.232,0.782,0.13,1.11,17.16923077
C1OM2,1,1,7,2,Yes,1,soil,1,mineral,20,30,3,3.394,0.977,0.147,0.85,23.08843537
C1OM2,1,1,7,2,Yes,1,soil,2,mineral,0,10,1,1.869,1.061,0.102,0.85,18.32352941
C1OM2,1,1,7,2,Yes,1,soil,2,mineral,10,20,2,1.516,0.643,0.061,1.11,24.85245902
C1OM2,1,1,7,2,Yes,1,soil,2,mineral,20,30,3,1.771,1.011,0.087,1.05,20.35632184
C1OM2,1,1,7,2,Yes,1,soil,3,mineral,0,10,1,0.179,0.262,0.005,0.94,35.8
C1OM2,1,1,7,2,Yes,1,soil,3,mineral,0,10,1,1.354,0.717,0.062,1.14,21.83870968
C1OM2,1,1,7,2,Yes,1,soil,3,mineral,10,20,2,1.625,0.945,0.095,1.01,17.10526316
C1OM2,1,1,7,2,Yes,1,soil,3,mineral,20,30,3,0.795,0.478,0.038,1.02,20.92105263
C2OM0,1,1,5,1,No,1,soil,1,mineral,0,10,1,3.008,1.094,0.134,0.7,22.44776119
C2OM0,1,1,5,1,No,1,soil,1,mineral,10,20,2,1.989,1.101,0.108,0.87,18.41666667
C2OM0,1,1,5,1,No,1,soil,1,mineral,20,30,3,1.589,0.994,0.086,0.86,18.47674419
C2OM0,1,1,5,1,No,1,soil,2,mineral,0,10,1,7.739,1.325,0.216,0.7,35.8287037
C2OM0,1,2,5,2,Yes,2,soil,1,mineral,0,10,1,11.51,1.811,0.363,0.85,31.70798898
C2OM0,1,2,5,2,Yes,2,soil,1,mineral,10,20,2,3.149,1.069,0.148,0.92,21.27702703
C2OM0,1,2,5,2,Yes,2,soil,1,mineral,20,30,3,1.146,0.579,0.056,1.12,20.46428571
C2OM0,1,3,5,2,Yes,3,soil,1,mineral,20,30,3,4.762,1.14,0.172,1.05,27.68604651
C2OM0,1,1,5,2,Yes,1,soil,2,mineral,0,10,1,11.51,0.838,0.126,0.75,91.34920635
C2OM0,1,3,5,2,Yes,3,soil,2,mineral,0,10,1,9.438,1.467,0.216,0.84,43.69444444
C2OM0,1,1,5,2,Yes,1,soil,2,mineral,10,20,2,2.506,1.05,0.109,0.82,22.99082569
C2OM0,1,3,5,2,Yes,3,soil,2,mineral,10,20,2,2.22,0.974,0.127,0.86,17.48031496
C2OM0,1,3,5,2,Yes,3,soil,2,mineral,10,20,2,7.932,1.388,0.18,0.85,44.06666667
C2OM0,1,1,5,2,Yes,1,soil,2,mineral,20,30,3,2.205,0.768,0.101,1.45,21.83168317
C2OM0,1,3,5,2,Yes,3,soil,3,mineral,0,10,1,5.064,1.207,0.193,0.82,26.23834197
C2OM0,1,2,5,2,Yes,2,soil,3,mineral,10,20,2,5.57,1.312,0.277,0.95,20.10830325
C2OM0,1,2,5,2,Yes,2,soil,3,mineral,20,30,3,4.58,1.274,0.151,1.08,30.33112583
C2OM1,1,1,4,1,No,1,soil,1,mineral,0,10,1,7.37,1.323,0.176,1.01,41.875
C2OM1,1,1,4,1,No,1,soil,1,mineral,10,20,2,3.069,0.838,0.126,1,24.35714286
C2OM1,1,1,4,1,No,1,soil,1,mineral,20,30,3,4.247,1.152,0.197,1.69,21.55837563
C2OM1,1,1,4,1,No,1,soil,2,mineral,10,20,2,2.734,1.159,0.149,1.23,18.34899329
C2OM1,1,1,4,1,No,1,soil,2,mineral,20,30,3,1.157,0.525,0.053,1.69,21.83018868
C2OM1,1,1,4,1,No,1,soil,2,mineral,20,30,3,1.376,0.486,0.036,1.71,38.22222222
C2OM1,1,1,4,1,No,1,soil,3,mineral,0,10,1,5.594,1.166,0.219,0.79,25.543379
C2OM1,1,1,4,1,No,1,soil,3,mineral,10,20,2,2.187,0.908,0.107,1.09,20.43925234
C2OM1,1,1,4,1,No,1,soil,3,mineral,20,30,3,0.26,0.357,0.012,1.69,21.66666667
C2OM1,1,1,4,2,Yes,1,soil,1,mineral,0,10,1,8.825,1.288,0.19,0.71,46.44736842
C2OM1,1,1,4,2,Yes,1,soil,1,mineral,0,10,1,5.17,1.172,0.174,0.92,29.71264368
C2OM1,1,1,4,2,Yes,1,soil,1,mineral,10,20,2,0.952,0.559,0.045,0.94,21.15555556
C2OM1,1,1,4,2,Yes,1,soil,1,mineral,10,20,2,6.718,1.454,0.315,1.06,21.32698413
C2OM1,1,1,4,2,Yes,1,soil,1,mineral,20,30,3,3.021,0.917,0.121,1.23,24.96694215
C2OM1,1,1,4,2,Yes,1,soil,2,mineral,10,20,2,1.376,0.828,0.085,1.05,16.18823529
C2OM1,1,1,4,2,Yes,1,soil,3,mineral,0,10,1,1.798,0.844,0.082,0.85,21.92682927
C2OM1,1,1,4,2,Yes,1,soil,3,mineral,10,20,2,0.333,0.293,0.008,1.23,41.625
C2OM1,1,1,10,1,No,1,soil,1,mineral,0,10,1,14.43,2.048,0.21,0.94,68.71428571
C2OM1,1,1,10,1,No,1,soil,1,mineral,10,20,2,6.67,1.291,0.147,0.97,45.37414966
C2OM1,1,2,10,1,No,2,soil,1,mineral,10,20,2,3.016,1.165,0.134,1.52,22.50746269
